ingredient_name,quantity,unit,category,recipeLink,titles
chicken thighs,4,n/a,Meat/Poultry,https://cooking.nytimes.com/recipes/1025436-one-pot-chicken-and-rice-with-caramelized-lemon,One-Pot Chicken and Rice With Caramelized Lemon Recipe
salt,to taste,n/a,Pantry,https://cooking.nytimes.com/recipes/1025436-one-pot-chicken-and-rice-with-caramelized-lemon;https://cooking.nytimes.com/recipes/1021681-lentil-soup-with-smoked-sausage-and-apples,One-Pot Chicken and Rice With Caramelized Lemon Recipe;Lentil Soup With Smoked Sausage and Apples Recipe
black pepper,to taste,n/a,Pantry,https://cooking.nytimes.com/recipes/1025436-one-pot-chicken-and-rice-with-caramelized-lemon;https://cooking.nytimes.com/recipes/1021681-lentil-soup-with-smoked-sausage-and-apples,One-Pot Chicken and Rice With Caramelized Lemon Recipe;Lentil Soup With Smoked Sausage and Apples Recipe
dried oregano,2,tsp,Pantry,https://cooking.nytimes.com/recipes/1025436-one-pot-chicken-and-rice-with-caramelized-lemon,One-Pot Chicken and Rice With Caramelized Lemon Recipe
crushed red pepper,to taste,n/a,Pantry,https://cooking.nytimes.com/recipes/1025436-one-pot-chicken-and-rice-with-caramelized-lemon,One-Pot Chicken and Rice With Caramelized Lemon Recipe
extra-virgin olive oil,2,tbsp,Pantry,https://cooking.nytimes.com/recipes/1025436-one-pot-chicken-and-rice-with-caramelized-lemon,One-Pot Chicken and Rice With Caramelized Lemon Recipe
lemons,2,n/a,Produce,https://cooking.nytimes.com/recipes/1025436-one-pot-chicken-and-rice-with-caramelized-lemon,One-Pot Chicken and Rice With Caramelized Lemon Recipe
Castelvetrano or kalamata olives,1,cup,Pantry,https://cooking.nytimes.com/recipes/1025436-one-pot-chicken-and-rice-with-caramelized-lemon,One-Pot Chicken and Rice With Caramelized Lemon Recipe
garlic,12,cloves,Produce,https://cooking.nytimes.com/recipes/1025436-one-pot-chicken-and-rice-with-caramelized-lemon;https://cooking.nytimes.com/recipes/1021681-lentil-soup-with-smoked-sausage-and-apples,One-Pot Chicken and Rice With Caramelized Lemon Recipe;Lentil Soup With Smoked Sausage and Apples Recipe
shallot or onion,1.5,n/a,Produce,https://cooking.nytimes.com/recipes/1025436-one-pot-chicken-and-rice-with-caramelized-lemon;https://cooking.nytimes.com/recipes/1021681-lentil-soup-with-smoked-sausage-and-apples,One-Pot Chicken and Rice With Caramelized Lemon Recipe;Lentil Soup With Smoked Sausage and Apples Recipe
long-grain white rice,2,cups,Pantry,https://cooking.nytimes.com/recipes/1025436-one-pot-chicken-and-rice-with-caramelized-lemon,One-Pot Chicken and Rice With Caramelized Lemon Recipe
chicken broth,4,cups,Pantry,https://cooking.nytimes.com/recipes/1025436-one-pot-chicken-and-rice-with-caramelized-lemon,One-Pot Chicken and Rice With Caramelized Lemon Recipe
fresh parsley,0.25,cup,Produce,https://cooking.nytimes.com/recipes/1025436-one-pot-chicken-and-rice-with-caramelized-lemon,One-Pot Chicken and Rice With Caramelized Lemon Recipe
unsalted butter,2,tbsp,Dairy,https://cooking.nytimes.com/recipes/1021681-lentil-soup-with-smoked-sausage-and-apples,Lentil Soup With Smoked Sausage and Apples Recipe
apples,2,n/a,Produce,https://cooking.nytimes.com/recipes/1021681-lentil-soup-with-smoked-sausage-and-apples,Lentil Soup With Smoked Sausage and Apples Recipe
celery,3,stalks,Produce,https://cooking.nytimes.com/recipes/1021681-lentil-soup-with-smoked-sausage-and-apples,Lentil Soup With Smoked Sausage and Apples Recipe
fresh sage or dried sage,1,sprig,Produce,https://cooking.nytimes.com/recipes/1021681-lentil-soup-with-smoked-sausage-and-apples,Lentil Soup With Smoked Sausage and Apples Recipe
fresh thyme or dried thyme,1,sprig,Produce,https://cooking.nytimes.com/recipes/1021681-lentil-soup-with-smoked-sausage-and-apples,Lentil Soup With Smoked Sausage and Apples Recipe
dry hard cider,1.5,cups,Other,https://cooking.nytimes.com/recipes/1021681-lentil-soup-with-smoked-sausage-and-apples,Lentil Soup With Smoked Sausage and Apples Recipe
smoked sausage,0.75,lb,Meat/Poultry,https://cooking.nytimes.com/recipes/1021681-lentil-soup-with-smoked-sausage-and-apples,Lentil Soup With Smoked Sausage and Apples Recipe
dried small green lentils,1.5,cups,Pantry,https://cooking.nytimes.com/recipes/1021681-lentil-soup-with-smoked-sausage-and-apples,Lentil Soup With Smoked Sausage and Apples Recipe
ground nutmeg,0.25,tsp,Pantry,https://cooking.nytimes.com/recipes/1021681-lentil-soup-with-smoked-sausage-and-apples,Lentil Soup With Smoked Sausage and Apples Recipe
cider vinegar,2,tsp,Pantry,https://cooking.nytimes.com/recipes/1021681-lentil-soup-with-smoked-sausage-and-apples,Lentil Soup With Smoked Sausage and Apples Recipe
sour cream,0.25,cup,Dairy,https://cooking.nytimes.com/recipes/1021681-lentil-soup-with-smoked-sausage-and-apples,Lentil Soup With Smoked Sausage and Apples Recipe
Dijon mustard,2,tsp,Pantry,https://cooking.nytimes.com/recipes/1021681-lentil-soup-with-smoked-sausage-and-apples,Lentil Soup With Smoked Sausage and Apples Recipe
scallions,4,n/a,Produce,https://cooking.nytimes.com/recipes/1021681-lentil-soup-with-smoked-sausage-and-apples,Lentil Soup With Smoked Sausage and Apples Recipe
